,AATSC2e,RotBtFrac,MLFER_A,AATSC2s,MATS2e,ATSC2s,HybRatio,nHBDon,nHsOH,nHBint2,SsOH,RDF20m,nBondsD,minHBint7,MATS6m,MATS6c,nAtomP,MATS6e,GATS2v,AATSC2m,nAtomLAC,AATSC6e,AATSC6s,maxdO,ATSC2m,minwHBa,MATS5i,MATS3c,ASP-3,MATS5p,AATSC3e,nHBDon_Lipinski,minHCsatu,ATSC8c,RDF20v,minHBa,AATSC3s,ATSC1m,VE3_DzZ,ATSC1s,RotBFrac,MATS1s,AATS0m,AATS6i,PetitjeanNumber,nHBa,BCUTc-1l,SM1_Dzi,RDF20i,nT6Ring,AATS3s,VR2_Dzp,minssCH2,VR2_Dzi
572,-0.039955928,1,0.4838,-0.88532226,-0.251037254,-12.47025922,1,1.6,1.6,0,12.2,0.476089612,0,0,0.089594287,0.022385959,0,0.053186016,1.38660031,-12.28417613,1.6,0.000799894,0.010047562,0,-167.4525057,0,0.178263407,0.151644718,0.45,0.258355104,0.019847446,1.6,0,0,1.1700139,6.1,0.486967102,-62.42662237,-18.36840029,-8.492185493,0.366666666,-0.315097403,73.97747298,36.9835304,0.366666666,1.6,-0.384294652,0.322064615,8.60941446,0,4.103333333,88892.27037,0.15625,88890.73681
573,-0.040883366,1,0.4126,-0.421893689,-0.29457595,-16.90225922,1,1.6,1.6,0,13.22102154,0.90780119,0,0,0.087176301,0.233800986,0,0.164965748,1.198525808,-9.259534782,1.6,0.017283241,0.140047562,0,-368.7973051,0,-0.080322438,0.150609515,0.273669346,-0.054484477,0.014157819,1.6,0,-0.057976666,1.993526713,3.898183674,0.10763377,-25.56852687,-34.39014214,-6.534185493,0.722222222,-0.206740751,72.90867694,176.8158666,0.455555555,3.2,-0.384287218,0.599079312,14.33073502,0,2.916666667,88894.62439,0.289583334,88892.9506
574,0.066726497,0.777777778,0.605666667,1.873901465,0.437706343,16.72308649,0.333333333,1.333333333,0,2.666666667,0,0.205464606,0.666666667,0,0.149323812,0.037309932,2.666666667,0.08864336,1.235396361,9.07999041,0,0.001333157,0.016745937,6,90.20608884,-0.555555555,-0.029269224,-0.596785664,0.083333333,-0.020868385,-0.10841112,2.666666667,0,0,0.762666993,2.833333333,-3.071536311,-51.95457003,-20.81752032,-10.88567953,0.166666667,-0.475355622,82.14507756,61.63921733,0.5,2,-0.301860536,0.490838766,6.48986417,0,4.194444444,648148.9466,0.427083333,648148.6932
575,0.003993692,0.833333333,0.473666667,1.225311707,-0.011207317,12.11424653,0.666666667,0.666666667,0.666666667,0.666666667,5.175411523,0.185425382,0.666666667,0,0.149323812,0.037309932,2,0.08864336,1.182210442,-24.91733909,1.333333333,0.001333157,0.016745937,6.272633745,-240.8757974,-0.448445359,-0.029269224,-0.08026237,0.35549886,-0.020868385,-0.053871839,0.666666667,0.33755144,0,0.673525851,0.418095565,-3.283557788,-32.58858574,-12.04496956,-5.045907022,0.333333333,-0.253025486,187.4389492,61.63921733,0.388888889,2,-0.334798533,0.393702718,6.089794303,0,4.860596708,148151.8675,0.684284979,148150.1647
576,0.025423536,0.809523809,0.395,0.675181298,0.126247964,16.57889747,0.733333333,0.666666667,0.666666667,0.666666667,5.340092593,0.351342124,1.333333333,0,-0.898734736,-0.404462581,2,-0.76330382,1.213144617,3.036699249,4.666666667,-0.115915041,-3.163740813,6.72324074,3.356939333,-0.610987654,-0.013473928,-0.0903728,0.246892972,-0.012737018,-0.040322567,0.666666667,0.315925926,0.000492978,1.216127869,5.340092593,-1.219204088,-35.26943154,-22.62704481,-4.470875794,0.535714286,-0.142758946,78.37084723,174.881351,0.433333333,2,-0.335457753,0.421351567,8.262505292,0,3.346902937,78475.37959,0.419656636,78438.46221
577,0.03074753,0.771428571,0.4734,0.812560167,0.173964083,20.1336232,0.68,0.8,0.8,0.8,6.408111111,0.288904335,1.6,0,-1.04283852,-0.480516001,2.4,-0.897626491,1.200920101,4.209445918,4.8,-0.13890265,-3.79390421,8.067888888,61.69982284,-0.733185185,-0.045118806,-0.106036198,0.25384516,-0.028510242,-0.048330281,0.8,0.379111111,0.000295787,0.981312993,6.408111111,-1.462718574,-40.16971815,-14.72037067,-5.109087976,0.492857143,-0.120847512,84.45633634,177.3994349,0.42,2.4,-0.333952094,0.460571963,6.09823488,0,3.724616858,47086.87866,0.233275463,47064.43136
578,-0.037904311,1,0.6886,-0.867951076,-0.233044009,-18.41672402,1,2.4,2.4,0,19.21296296,0.683320539,0,0,0.540619992,0.778010499,0,0.285342658,1.414557902,-9.64868722,3.2,0.054122575,1.086304123,0,-248.4203841,0,0.24460311,0.177930235,0.321195777,0.269432479,0.02050656,2.4,0,0.000295787,1.701473279,6.339814815,0.48280124,-79.0793004,-30.39845803,-13.4781852,0.47,-0.302238952,78.66438765,180.392308,0.5,2.4,-0.383799699,0.460571963,11.26980104,0,4.637345679,447084.2618,-0.021354166,447062.274
579,0.003431329,0.974025974,0.128,0.09990032,-0.053409883,3.483487872,0.952380952,0.571428571,0.142857143,0.428571429,1.197186611,0.645225082,0.285714286,0.375367199,-0.143406549,-0.018879731,0.571428571,-0.075402605,1.28397074,-2.179615707,4.142857143,-0.000505911,-0.032845239,1.459591701,-237.1777412,-0.142896825,0.111512966,-0.016667415,0.218567867,0.053371068,-0.001071761,1,0.099264658,0.034995825,2.280164212,0.721327228,-0.006723705,-24.7260247,-53.88751888,-3.594841561,0.707792208,-0.253708242,53.05329935,164.6929727,0.5,0.714285714,-0.341213042,0.371252032,17.48604512,0,1.777777777,201788.0665,1.212919974,201693.7662
580,0.002852858,0.977272727,0.112375,0.085948649,-0.060775226,2.898710485,0.958333333,0.5,0.125,0.375,1.047538285,0.647513331,0.25,0.328446299,-0.147757707,-0.0195442,0.5,-0.077438588,1.282757797,-2.260543006,4.125,-0.000564797,-0.030355063,1.277142739,-243.5752083,-0.125034722,0.115667653,-0.016090964,0.217763388,0.054965822,-0.000973291,0.875,0.086856576,0.030806213,2.293918967,0.631161325,-0.0060872,-22.98127143,-54.92163096,-3.305463226,0.713068182,-0.253534226,52.41456214,164.3927176,0.5,0.625,-0.341434668,0.353001726,17.68577165,0,1.737847222,205991.7937,1.230250289,205895.6225
581,0.002402936,0.97979798,0.100222222,0.075097349,-0.066503826,2.443883629,0.962962963,0.444444444,0.111111111,0.333333333,0.931145142,0.64929308,0.222222222,0.291952266,-0.151141942,-0.020061009,0.444444444,-0.079022131,1.281814397,-2.323486461,4.111111111,-0.000610598,-0.028418259,1.13523799,-248.5510161,-0.111141975,0.118899076,-0.015642613,0.217137682,0.056206187,-0.000896703,0.777777778,0.077205845,0.027547627,2.30461711,0.561032288,-0.00559214,-21.6242411,-55.72594035,-3.080391188,0.717171717,-0.25339888,51.91776654,164.1591859,0.5,0.555555556,-0.341607044,0.338807044,17.84111451,0,1.706790123,209261.3593,1.243729424,209163.7329
